Canonical_Method,Canonical_Variable,Aggregate_Effect_Trend,Study_Count
Deep_Learning,Belonging_School_Climate,Null,1
Deep_Learning,Gender_Demographics,Negative,1
Deep_Learning,Gender_Demographics,Null,1
Deep_Learning,Math_Achievement,Null,1
Deep_Learning,Math_Achievement,Positive,2
Deep_Learning,Problem_Solving_Achievement,Positive,1
Deep_Learning,Psychometrics_Process,Null,3
Deep_Learning,SES,Negative,1
Deep_Learning,SES,Null,2
Deep_Learning,Student_Motivation,Positive,1
Deep_Learning,Teacher_Quality_Practices,Null,1
Deep_Learning,Teacher_Quality_Practices,Positive,2
Ensemble_Learning,Academic_Resilience,Negative,1
Ensemble_Learning,Academic_Resilience,Null,2
Ensemble_Learning,Gender_Demographics,Null,3
Ensemble_Learning,ICT_Usage,Null,1
Ensemble_Learning,Language_Proficiency,Null,1
Ensemble_Learning,Math_Achievement,Negative,3
Ensemble_Learning,Math_Achievement,Null,7
Ensemble_Learning,Math_Achievement,Positive,13
Ensemble_Learning,Occupational_Expectation,Null,1
Ensemble_Learning,Occupational_Expectation,Positive,1
Ensemble_Learning,Problem_Solving_Achievement,Null,2
Ensemble_Learning,Problem_Solving_Achievement,Positive,4
Ensemble_Learning,Psychometrics_Process,Null,3
Ensemble_Learning,Psychometrics_Process,Positive,1
Ensemble_Learning,Reading_Achievement,Negative,2
Ensemble_Learning,Reading_Achievement,Null,11
Ensemble_Learning,Reading_Achievement,Positive,9
Ensemble_Learning,Science_Achievement,Null,8
Ensemble_Learning,Science_Achievement,Positive,5
Ensemble_Learning,Self_Efficacy,Negative,1
Ensemble_Learning,Self_Efficacy,Null,1
Ensemble_Learning,Teacher_Quality_Practices,Null,1
Ensemble_Learning,Wellbeing_Mental_Health,Null,5
Ensemble_Learning,Wellbeing_Mental_Health,Positive,2
Supervised_General,Academic_Resilience,Negative,1
Supervised_General,Academic_Resilience,Null,1
Supervised_General,Academic_Resilience,Positive,2
Supervised_General,Civic_Achievement,Positive,1
Supervised_General,Curriculum_Instruction,Null,1
Supervised_General,Curriculum_Instruction,Positive,1
Supervised_General,Gender_Demographics,Positive,1
Supervised_General,ICT_Usage,Negative,1
Supervised_General,ICT_Usage,Null,2
Supervised_General,ICT_Usage,Positive,2
Supervised_General,Language_Proficiency,Negative,1
Supervised_General,Language_Proficiency,Null,1
Supervised_General,Language_Proficiency,Positive,1
Supervised_General,Math_Achievement,Null,1
Supervised_General,Math_Achievement,Positive,3
Supervised_General,Peer_Effects,Negative,1
Supervised_General,Psychometrics_Process,Positive,1
Supervised_General,Reading_Achievement,Null,2
Supervised_General,Reading_Achievement,Positive,6
Supervised_General,SES,Negative,1
Supervised_General,Science_Achievement,Positive,2
Supervised_General,Self_Efficacy,Null,1
Traditional_Stats,Anxiety_Stress,Negative,2
Traditional_Stats,Anxiety_Stress,Null,3
Traditional_Stats,Anxiety_Stress,Positive,5
Traditional_Stats,Assessment_Practices,Null,2
Traditional_Stats,Assessment_Practices,Positive,2
Traditional_Stats,Belonging_School_Climate,Negative,3
Traditional_Stats,Belonging_School_Climate,Null,7
Traditional_Stats,Belonging_School_Climate,Positive,6
Traditional_Stats,Civic_Achievement,Negative,1
Traditional_Stats,Civic_Achievement,Null,10
Traditional_Stats,Civic_Achievement,Positive,8
Traditional_Stats,Curriculum_Instruction,Null,4
Traditional_Stats,Curriculum_Instruction,Positive,1
Traditional_Stats,Dropout_Retention,Positive,1
Traditional_Stats,Gender_Demographics,Negative,12
Traditional_Stats,Gender_Demographics,Null,28
Traditional_Stats,Gender_Demographics,Positive,16
Traditional_Stats,Homework_Study_Time,Null,2
Traditional_Stats,Homework_Study_Time,Positive,1
Traditional_Stats,ICT_Usage,Negative,4
Traditional_Stats,ICT_Usage,Null,26
Traditional_Stats,ICT_Usage,Positive,15
Traditional_Stats,Immigration_Language,Negative,1
