Canonical_Method,Canonical_Variable,Aggregate_Effect_Trend,Study_Count,Metadata_Filter_Flag
Deep_Learning,Assessment_Methodology,Negative,2,empirical_finding
Deep_Learning,Assessment_Methodology,Null,3,empirical_finding
Deep_Learning,Assessment_Methodology,Positive,5,empirical_finding
Deep_Learning,Belonging_School_Climate,Null,1,empirical_finding
Deep_Learning,Curriculum_Instruction,Positive,1,empirical_finding
Deep_Learning,Gender_Demographics,Negative,1,empirical_finding
Deep_Learning,Gender_Demographics,Null,1,empirical_finding
Deep_Learning,Math_Achievement,Null,1,empirical_finding
Deep_Learning,Math_Achievement,Positive,2,empirical_finding
Deep_Learning,Problem_Solving_Achievement,Positive,1,empirical_finding
Deep_Learning,Psychometrics_Process,Null,3,empirical_finding
Deep_Learning,SES,Negative,1,empirical_finding
Deep_Learning,SES,Null,2,empirical_finding
Deep_Learning,Student_Motivation,Positive,1,empirical_finding
Deep_Learning,Teacher_Efficacy_Workforce,Null,1,empirical_finding
Deep_Learning,Teacher_Efficacy_Workforce,Positive,1,empirical_finding
Ensemble_Learning,Academic_Resilience,Negative,1,empirical_finding
Ensemble_Learning,Academic_Resilience,Null,2,empirical_finding
Ensemble_Learning,Assessment_Methodology,Negative,1,empirical_finding
Ensemble_Learning,Assessment_Methodology,Null,2,empirical_finding
Ensemble_Learning,Assessment_Methodology,Positive,2,empirical_finding
Ensemble_Learning,Civic_Engagement,Null,1,empirical_finding
Ensemble_Learning,Civic_Engagement,Positive,1,empirical_finding
Ensemble_Learning,Gender_Demographics,Null,3,empirical_finding
Ensemble_Learning,ICT_Usage,Null,1,empirical_finding
Ensemble_Learning,Language_Proficiency,Null,1,empirical_finding
Ensemble_Learning,Math_Achievement,Negative,5,empirical_finding
Ensemble_Learning,Math_Achievement,Null,9,empirical_finding
Ensemble_Learning,Math_Achievement,Positive,14,empirical_finding
Ensemble_Learning,Occupational_Expectation,Null,1,empirical_finding
Ensemble_Learning,Occupational_Expectation,Positive,1,empirical_finding
Ensemble_Learning,Problem_Solving_Achievement,Null,2,empirical_finding
Ensemble_Learning,Problem_Solving_Achievement,Positive,6,empirical_finding
Ensemble_Learning,Psychometrics_Process,Negative,1,empirical_finding
Ensemble_Learning,Psychometrics_Process,Null,4,empirical_finding
Ensemble_Learning,Psychometrics_Process,Positive,1,empirical_finding
Ensemble_Learning,Reading_Achievement,Negative,2,empirical_finding
Ensemble_Learning,Reading_Achievement,Null,11,empirical_finding
Ensemble_Learning,Reading_Achievement,Positive,10,empirical_finding
Ensemble_Learning,School_Efficiency_Climate,Positive,1,empirical_finding
Ensemble_Learning,Science_Achievement,Null,8,empirical_finding
Ensemble_Learning,Science_Achievement,Positive,6,empirical_finding
Ensemble_Learning,Self_Efficacy,Negative,1,empirical_finding
Ensemble_Learning,Self_Efficacy,Null,1,empirical_finding
Ensemble_Learning,Student_Motivation,Null,1,empirical_finding
