Canonical_Method,Canonical_Variable,Aggregate_Effect_Trend,Study_Count,Metadata_Filter_Flag
Deep_Learning,Assessment_Methodology,Negative,2,empirical_finding
Deep_Learning,Assessment_Methodology,Null,2,empirical_finding
Deep_Learning,Assessment_Methodology,Positive,4,empirical_finding
Deep_Learning,Belonging_School_Climate,Null,1,empirical_finding
Deep_Learning,Curriculum_Instruction,Positive,1,empirical_finding
Deep_Learning,Gender_Demographics,Negative,1,empirical_finding
Deep_Learning,Gender_Demographics,Null,1,empirical_finding
Deep_Learning,Math_Achievement,Null,1,empirical_finding
Deep_Learning,Math_Achievement,Positive,1,empirical_finding
Deep_Learning,Problem_Solving_Achievement,Positive,1,empirical_finding
Deep_Learning,Psychometrics_Process,Null,3,empirical_finding
Deep_Learning,SES,Negative,1,empirical_finding
Deep_Learning,SES,Null,2,empirical_finding
Deep_Learning,Student_Motivation,Positive,1,empirical_finding
Deep_Learning,Uncategorized_Contextual,Null,2,excluded
Deep_Learning,Uncategorized_Contextual,Positive,3,excluded
Ensemble_Learning,Academic_Resilience,Negative,1,empirical_finding
Ensemble_Learning,Academic_Resilience,Null,2,empirical_finding
Ensemble_Learning,Assessment_Methodology,Negative,1,empirical_finding
Ensemble_Learning,Assessment_Methodology,Null,2,empirical_finding
Ensemble_Learning,Assessment_Methodology,Positive,1,empirical_finding
Ensemble_Learning,Civic_Engagement,Null,1,empirical_finding
Ensemble_Learning,Civic_Engagement,Positive,1,empirical_finding
Ensemble_Learning,Gender_Demographics,Null,3,empirical_finding
Ensemble_Learning,ICT_Usage,Null,1,empirical_finding
Ensemble_Learning,Language_Proficiency,Null,1,empirical_finding
Ensemble_Learning,Math_Achievement,Negative,5,empirical_finding
Ensemble_Learning,Math_Achievement,Null,8,empirical_finding
Ensemble_Learning,Math_Achievement,Positive,9,empirical_finding
Ensemble_Learning,Occupational_Expectation,Null,1,empirical_finding
Ensemble_Learning,Occupational_Expectation,Positive,1,empirical_finding
Ensemble_Learning,Problem_Solving_Achievement,Null,2,empirical_finding
Ensemble_Learning,Problem_Solving_Achievement,Positive,4,empirical_finding
Ensemble_Learning,Psychometrics_Process,Negative,1,empirical_finding
Ensemble_Learning,Psychometrics_Process,Null,4,empirical_finding
Ensemble_Learning,Psychometrics_Process,Positive,1,empirical_finding
Ensemble_Learning,Reading_Achievement,Negative,1,empirical_finding
Ensemble_Learning,Reading_Achievement,Null,8,empirical_finding
Ensemble_Learning,Reading_Achievement,Positive,7,empirical_finding
Ensemble_Learning,School_Efficiency_Climate,Positive,1,empirical_finding
Ensemble_Learning,Science_Achievement,Null,5,empirical_finding
Ensemble_Learning,Science_Achievement,Positive,5,empirical_finding
Ensemble_Learning,Self_Efficacy,Negative,1,empirical_finding
Ensemble_Learning,Self_Efficacy,Null,1,empirical_finding
Ensemble_Learning,Teacher_Efficacy_Workforce,Negative,1,empirical_finding
Ensemble_Learning,Teacher_Efficacy_Workforce,Positive,1,empirical_finding
Ensemble_Learning,Teacher_Quality_Practices,Null,1,empirical_finding
Ensemble_Learning,Uncategorized_Contextual,Negative,3,excluded
Ensemble_Learning,Uncategorized_Contextual,Null,11,excluded
Ensemble_Learning,Uncategorized_Contextual,Positive,11,excluded
Ensemble_Learning,Wellbeing_Mental_Health,Null,5,empirical_finding
Ensemble_Learning,Wellbeing_Mental_Health,Positive,2,empirical_finding
Ensemble_Learning,Wellbeing_Psychological,Positive,1,empirical_finding
Supervised_General,Academic_Resilience,Negative,1,empirical_finding
Supervised_General,Academic_Resilience,Null,1,empirical_finding
Supervised_General,Academic_Resilience,Positive,2,empirical_finding
Supervised_General,Assessment_Methodology,Negative,1,empirical_finding
Supervised_General,Assessment_Methodology,Null,2,empirical_finding
Supervised_General,Civic_Achievement,Positive,1,empirical_finding
Supervised_General,Curriculum_Instruction,Null,1,empirical_finding
Supervised_General,Curriculum_Instruction,Positive,1,empirical_finding
Supervised_General,Gender_Demographics,Positive,1,empirical_finding
Supervised_General,ICT_Usage,Negative,1,empirical_finding
Supervised_General,ICT_Usage,Null,2,empirical_finding
Supervised_General,ICT_Usage,Positive,2,empirical_finding
Supervised_General,Language_Proficiency,Negative,1,empirical_finding
Supervised_General,Language_Proficiency,Null,1,empirical_finding
Supervised_General,Language_Proficiency,Positive,1,empirical_finding
Supervised_General,Math_Achievement,Null,1,empirical_finding
Supervised_General,Math_Achievement,Positive,2,empirical_finding
Supervised_General,Peer_Effects,Negative,1,empirical_finding
Supervised_General,Psychometrics_Process,Positive,1,empirical_finding
Supervised_General,Reading_Achievement,Null,2,empirical_finding
Supervised_General,Reading_Achievement,Positive,7,empirical_finding
Supervised_General,SES,Negative,1,empirical_finding
Supervised_General,School_Efficiency_Climate,Null,1,empirical_finding
Supervised_General,Science_Achievement,Positive,2,empirical_finding
Supervised_General,Self_Efficacy,Null,1,empirical_finding
Supervised_General,Uncategorized_Contextual,Null,3,excluded
Supervised_General,Uncategorized_Contextual,Positive,1,excluded
Theoretical_and_Meta_Synthesis,Theoretical_and_Meta_Synthesis,Negative,16,theoretical_meta_synthesis
Theoretical_and_Meta_Synthesis,Theoretical_and_Meta_Synthesis,Null,209,theoretical_meta_synthesis
Theoretical_and_Meta_Synthesis,Theoretical_and_Meta_Synthesis,Positive,39,theoretical_meta_synthesis
Traditional_Stats,Anxiety_Stress,Negative,2,empirical_finding
Traditional_Stats,Anxiety_Stress,Null,3,empirical_finding
Traditional_Stats,Anxiety_Stress,Positive,5,empirical_finding
Traditional_Stats,Assessment_Methodology,Negative,1,empirical_finding
